Site Name ,CRL,,,
Site Number ,1 shallow 2',,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,16333,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,17/06/2024 , 10:10:00,682,71.2
2,17/06/2024 , 10:20:00,1047,109.3
3,17/06/2024 , 10:30:00,7767,810.5
4,17/06/2024 , 10:40:00,10031,1046.8
5,17/06/2024 , 10:50:00,10941,1141.8
6,17/06/2024 , 11:00:00,14341,1496.6
7,17/06/2024 , 11:10:00,11447,1194.6
8,17/06/2024 , 11:20:00,16837,1757
9,17/06/2024 , 11:30:00,14093,1470.7
10,17/06/2024 , 11:40:00,13776,1437.6
11,17/06/2024 , 11:50:00,7136,744.7
12,17/06/2024 , 12:00:00,10776,1124.5
13,17/06/2024 , 12:10:00,6147,641.5
14,17/06/2024 , 12:20:00,5953,621.2
15,17/06/2024 , 12:30:00,9039,943.3
16,17/06/2024 , 12:40:00,16482,1720
17,17/06/2024 , 12:50:00,11552,1205.5
18,17/06/2024 , 13:00:00,17580,1834.6
19,17/06/2024 , 13:10:00,17613,1838
20,17/06/2024 , 13:20:00,17221,1797.1
21,17/06/2024 , 13:30:00,17452,1821.2
22,17/06/2024 , 13:40:00,13240,1381.7
23,17/06/2024 , 13:50:00,11868,1238.5
24,17/06/2024 , 14:00:00,13258,1383.6
25,17/06/2024 , 14:10:00,13349,1393
26,17/06/2024 , 14:20:00,14111,1472.6
27,17/06/2024 , 14:30:00,11531,1203.3
28,17/06/2024 , 14:40:00,16538,1725.8
29,17/06/2024 , 14:50:00,6495,677.8
30,17/06/2024 , 15:00:00,5002,522
31,17/06/2024 , 15:10:00,10919,1139.5
32,17/06/2024 , 15:20:00,9940,1037.3
33,17/06/2024 , 15:30:00,5707,595.6
34,17/06/2024 , 15:40:00,9942,1037.5
35,17/06/2024 , 15:50:00,5301,553.2
36,17/06/2024 , 16:00:00,5392,562.7
37,17/06/2024 , 16:10:00,3710,387.2
38,17/06/2024 , 16:20:00,3977,415
39,17/06/2024 , 16:30:00,3301,344.5
40,17/06/2024 , 16:40:00,2075,216.5
41,17/06/2024 , 16:50:00,2442,254.8
42,17/06/2024 , 17:00:00,2871,299.6
43,17/06/2024 , 17:10:00,2954,308.3
44,17/06/2024 , 17:20:00,2848,297.2
45,17/06/2024 , 17:30:00,1871,195.3
46,17/06/2024 , 17:40:00,2443,254.9
47,17/06/2024 , 17:50:00,2261,235.9
48,17/06/2024 , 18:00:00,1705,177.9
49,17/06/2024 , 18:10:00,1333,139.1
50,17/06/2024 , 18:20:00,1017,106.1
51,17/06/2024 , 18:30:00,662,69.1
52,17/06/2024 , 18:40:00,578,60.3
53,17/06/2024 , 18:50:00,399,41.6
54,17/06/2024 , 19:00:00,277,28.9
55,17/06/2024 , 19:10:00,169,17.6
56,17/06/2024 , 19:20:00,70,7.3
57,17/06/2024 , 19:30:00,16,1.7
58,17/06/2024 , 19:40:00,1,0.1
59,17/06/2024 , 19:50:00,0,0
60,17/06/2024 , 20:00:00,0,0
61,17/06/2024 , 20:10:00,0,0
62,17/06/2024 , 20:20:00,0,0
63,17/06/2024 , 20:30:00,0,0
64,17/06/2024 , 20:40:00,0,0
65,17/06/2024 , 20:50:00,0,0
66,17/06/2024 , 21:00:00,0,0
67,17/06/2024 , 21:10:00,0,0
68,17/06/2024 , 21:20:00,0,0
69,17/06/2024 , 21:30:00,0,0
70,17/06/2024 , 21:40:00,0,0
71,17/06/2024 , 21:50:00,0,0
72,17/06/2024 , 22:00:00,0,0
73,17/06/2024 , 22:10:00,0,0
74,17/06/2024 , 22:20:00,0,0
75,17/06/2024 , 22:30:00,0,0
76,17/06/2024 , 22:40:00,0,0
77,17/06/2024 , 22:50:00,0,0
78,17/06/2024 , 23:00:00,0,0
79,17/06/2024 , 23:10:00,0,0
80,17/06/2024 , 23:20:00,0,0
81,17/06/2024 , 23:30:00,0,0
82,17/06/2024 , 23:40:00,0,0
83,17/06/2024 , 23:50:00,0,0
84,17/06/2024 , 24:00:00,0,0
85,18/06/2024 , 00:10:00,0,0
86,18/06/2024 , 00:20:00,0,0
87,18/06/2024 , 00:30:00,0,0
88,18/06/2024 , 00:40:00,0,0
89,18/06/2024 , 00:50:00,0,0
90,18/06/2024 , 01:00:00,0,0
91,18/06/2024 , 01:10:00,0,0
92,18/06/2024 , 01:20:00,0,0
93,18/06/2024 , 01:30:00,0,0
94,18/06/2024 , 01:40:00,0,0
95,18/06/2024 , 01:50:00,0,0
96,18/06/2024 , 02:00:00,0,0
97,18/06/2024 , 02:10:00,0,0
98,18/06/2024 , 02:20:00,0,0
99,18/06/2024 , 02:30:00,0,0
100,18/06/2024 , 02:40:00,0,0
101,18/06/2024 , 02:50:00,0,0
102,18/06/2024 , 03:00:00,0,0
103,18/06/2024 , 03:10:00,0,0
104,18/06/2024 , 03:20:00,0,0
105,18/06/2024 , 03:30:00,0,0
106,18/06/2024 , 03:40:00,0,0
107,18/06/2024 , 03:50:00,0,0
108,18/06/2024 , 04:00:00,0,0
109,18/06/2024 , 04:10:00,0,0
110,18/06/2024 , 04:20:00,0,0
111,18/06/2024 , 04:30:00,0,0
112,18/06/2024 , 04:40:00,0,0
113,18/06/2024 , 04:50:00,0,0
114,18/06/2024 , 05:00:00,0,0
115,18/06/2024 , 05:10:00,0,0
116,18/06/2024 , 05:20:00,0,0
117,18/06/2024 , 05:30:00,0,0
118,18/06/2024 , 05:40:00,4,0.4
119,18/06/2024 , 05:50:00,34,3.5
120,18/06/2024 , 06:00:00,96,10
121,18/06/2024 , 06:10:00,242,25.3
122,18/06/2024 , 06:20:00,341,35.6
123,18/06/2024 , 06:30:00,369,38.5
124,18/06/2024 , 06:40:00,260,27.1
125,18/06/2024 , 06:50:00,742,77.4
126,18/06/2024 , 07:00:00,1384,144.4
127,18/06/2024 , 07:10:00,2833,295.6
128,18/06/2024 , 07:20:00,1866,194.7
129,18/06/2024 , 07:30:00,4892,510.5
130,18/06/2024 , 07:40:00,2366,246.9
131,18/06/2024 , 07:50:00,5272,550.2
132,18/06/2024 , 08:00:00,3190,332.9
133,18/06/2024 , 08:10:00,4303,449
134,18/06/2024 , 08:20:00,5615,586
135,18/06/2024 , 08:30:00,6272,654.5
136,18/06/2024 , 08:40:00,4476,467.1
137,18/06/2024 , 08:50:00,4278,446.4
138,18/06/2024 , 09:00:00,10047,1048.5
139,18/06/2024 , 09:10:00,10232,1067.8
140,18/06/2024 , 09:20:00,9429,984
141,18/06/2024 , 09:30:00,8131,848.5
142,18/06/2024 , 09:40:00,4784,499.2
143,18/06/2024 , 09:50:00,6784,708
144,18/06/2024 , 10:00:00,3643,380.2
145,18/06/2024 , 10:10:00,8101,845.4
146,18/06/2024 , 10:20:00,8300,866.2
147,18/06/2024 , 10:30:00,13211,1378.6
148,18/06/2024 , 10:40:00,15643,1632.4
149,18/06/2024 , 10:50:00,9711,1013.4
150,18/06/2024 , 11:00:00,14265,1488.6
151,18/06/2024 , 11:10:00,16299,1700.9
152,18/06/2024 , 11:20:00,13356,1393.8
