"Plot Title: 21556322"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21556322, SEN S/N: 21556322)","Coupler Detached (LGR S/N: 21556322)","Coupler Attached (LGR S/N: 21556322)","Host Connected (LGR S/N: 21556322)","Stopped (LGR S/N: 21556322)","End Of File (LGR S/N: 21556322)"
1,06/17/24 10:00:00 AM,35.315,Logged,,,,
2,06/17/24 11:00:00 AM,26.989,,,,,
3,06/17/24 12:00:00 PM,27.161,,,,,
4,06/17/24 01:00:00 PM,27.333,,,,,
5,06/17/24 02:00:00 PM,27.161,,,,,
6,06/17/24 03:00:00 PM,27.136,,,,,
7,06/17/24 04:00:00 PM,26.989,,,,,
8,06/17/24 05:00:00 PM,26.940,,,,,
9,06/17/24 06:00:00 PM,26.867,,,,,
10,06/17/24 07:00:00 PM,26.744,,,,,
11,06/17/24 08:00:00 PM,26.720,,,,,
12,06/17/24 09:00:00 PM,26.671,,,,,
13,06/17/24 10:00:00 PM,26.695,,,,,
14,06/17/24 11:00:00 PM,26.500,,,,,
15,06/18/24 12:00:00 AM,26.598,,,,,
16,06/18/24 01:00:00 AM,26.549,,,,,
17,06/18/24 02:00:00 AM,26.500,,,,,
18,06/18/24 03:00:00 AM,26.451,,,,,
19,06/18/24 04:00:00 AM,26.451,,,,,
20,06/18/24 05:00:00 AM,26.353,,,,,
21,06/18/24 06:00:00 AM,26.256,,,,,
22,06/18/24 07:00:00 AM,26.304,,,,,
23,06/18/24 08:00:00 AM,26.353,,,,,
24,06/18/24 09:00:00 AM,26.475,,,,,
25,06/18/24 10:00:00 AM,26.475,,,,,
26,06/18/24 11:00:00 AM,26.744,,,,,
27,06/18/24 12:00:00 PM,26.965,,,,,
28,06/18/24 01:00:00 PM,26.965,,,,,
29,06/18/24 02:00:00 PM,27.038,,,,,
30,06/18/24 03:00:00 PM,27.112,,,,,
31,06/18/24 04:00:00 PM,26.989,,,,,
32,06/18/24 05:00:00 PM,26.891,,,,,
33,06/18/24 06:00:00 PM,26.744,,,,,
34,06/18/24 07:00:00 PM,26.598,,,,,
35,06/18/24 08:00:00 PM,26.549,,,,,
36,06/18/24 09:00:00 PM,26.451,,,,,
37,06/18/24 10:00:00 PM,26.426,,,,,
38,06/18/24 11:00:00 PM,26.329,,,,,
39,06/19/24 12:00:00 AM,26.329,,,,,
40,06/19/24 01:00:00 AM,26.256,,,,,
41,06/19/24 02:00:00 AM,26.231,,,,,
42,06/19/24 03:00:00 AM,26.280,,,,,
43,06/19/24 04:00:00 AM,26.231,,,,,
44,06/19/24 05:00:00 AM,26.134,,,,,
45,06/19/24 06:00:00 AM,25.963,,,,,
46,06/19/24 07:00:00 AM,25.987,,,,,
47,06/19/24 08:00:00 AM,26.134,,,,,
48,06/19/24 09:00:00 AM,26.280,,,,,
49,06/19/24 10:00:00 AM,26.451,,,,,
50,06/19/24 11:00:00 AM,26.769,,,,,
51,06/19/24 12:00:00 PM,26.940,,,,,
52,06/19/24 01:00:00 PM,27.186,,,,,
53,06/19/24 02:00:00 PM,27.063,,,,,
54,06/19/24 03:00:00 PM,26.989,,,,,
55,06/19/24 04:00:00 PM,26.940,,,,,
56,06/19/24 05:00:00 PM,27.259,,,,,
57,06/19/24 06:00:00 PM,27.210,,,,,
58,06/19/24 07:00:00 PM,26.818,,,,,
59,06/19/24 08:00:00 PM,26.426,,,,,
60,06/19/24 09:00:00 PM,26.329,,,,,
61,06/19/24 10:00:00 PM,26.158,,,,,
62,06/19/24 11:00:00 PM,26.304,,,,,
63,06/20/24 12:00:00 AM,26.207,,,,,
64,06/20/24 01:00:00 AM,26.256,,,,,
65,06/20/24 02:00:00 AM,26.158,,,,,
66,06/20/24 03:00:00 AM,26.158,,,,,
67,06/20/24 04:00:00 AM,25.744,,,,,
68,06/20/24 05:00:00 AM,25.963,,,,,
69,06/20/24 06:00:00 AM,25.768,,,,,
70,06/20/24 07:00:00 AM,25.720,,,,,
71,06/20/24 08:00:00 AM,25.963,,,,,
72,06/20/24 09:00:00 AM,26.158,,,,,
73,06/20/24 10:00:00 AM,26.402,,,,,
74,06/20/24 11:00:00 AM,26.671,,,,,
75,06/20/24 12:00:00 PM,26.891,,,,,
76,06/20/24 01:00:00 PM,26.891,,,,,
77,06/20/24 02:00:00 PM,26.965,,,,,
78,06/20/24 03:00:00 PM,26.720,,,,,
79,06/20/24 04:00:00 PM,26.818,,,,,
80,06/20/24 05:00:00 PM,27.210,,,,,
81,06/20/24 06:00:00 PM,27.038,,,,,
82,06/20/24 07:00:00 PM,27.210,,,,,
83,06/20/24 08:00:00 PM,27.210,,,,,
84,06/20/24 09:00:00 PM,26.402,,,,,
85,06/20/24 10:00:00 PM,26.158,,,,,
86,06/20/24 11:00:00 PM,25.987,,,,,
87,06/21/24 12:00:00 AM,25.939,,,,,
88,06/21/24 01:00:00 AM,25.890,,,,,
89,06/21/24 02:00:00 AM,26.012,,,,,
90,06/21/24 03:00:00 AM,26.158,,,,,
91,06/21/24 04:00:00 AM,26.182,,,,,
92,06/21/24 05:00:00 AM,26.061,,,,,
93,06/21/24 06:00:00 AM,26.012,,,,,
94,06/21/24 07:00:00 AM,26.036,,,,,
95,06/21/24 08:00:00 AM,26.158,,,,,
96,06/21/24 09:00:00 AM,26.182,,,,,
97,06/21/24 10:00:00 AM,26.402,,,,,
98,06/21/24 11:00:00 AM,25.258,,,,,
99,06/21/24 11:22:11 AM,,,Logged,Logged,,
100,06/21/24 11:22:27 AM,,,,,Logged,Logged
