Site Name ,CRL
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,16321


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,17/06/2024 , 10:10:00,1145,112.3
2,17/06/2024 , 10:20:00,1355,132.9
3,17/06/2024 , 10:30:00,1014,99.5
4,17/06/2024 , 10:40:00,4058,398.2
5,17/06/2024 , 10:50:00,7525,738.3
6,17/06/2024 , 11:00:00,10384,1018.8
7,17/06/2024 , 11:10:00,8527,836.6
8,17/06/2024 , 11:20:00,12913,1267
9,17/06/2024 , 11:30:00,10653,1045.2
10,17/06/2024 , 11:40:00,10367,1017.2
11,17/06/2024 , 11:50:00,5119,502.3
12,17/06/2024 , 12:00:00,7892,774.3
13,17/06/2024 , 12:10:00,4245,416.5
14,17/06/2024 , 12:20:00,4231,415.1
15,17/06/2024 , 12:30:00,6502,637.9
16,17/06/2024 , 12:40:00,11988,1176.2
17,17/06/2024 , 12:50:00,8025,787.4
18,17/06/2024 , 13:00:00,12301,1206.9
19,17/06/2024 , 13:10:00,12097,1186.9
20,17/06/2024 , 13:20:00,11728,1150.7
21,17/06/2024 , 13:30:00,11433,1121.8
22,17/06/2024 , 13:40:00,8369,821.1
23,17/06/2024 , 13:50:00,7282,714.5
24,17/06/2024 , 14:00:00,8096,794.3
25,17/06/2024 , 14:10:00,7982,783.2
26,17/06/2024 , 14:20:00,7840,769.2
27,17/06/2024 , 14:30:00,6230,611.3
28,17/06/2024 , 14:40:00,8811,864.5
29,17/06/2024 , 14:50:00,3721,365.1
30,17/06/2024 , 15:00:00,3165,310.5
31,17/06/2024 , 15:10:00,5560,545.5
32,17/06/2024 , 15:20:00,4790,470
33,17/06/2024 , 15:30:00,3149,309
34,17/06/2024 , 15:40:00,4203,412.4
35,17/06/2024 , 15:50:00,3110,305.1
36,17/06/2024 , 16:00:00,3109,305
37,17/06/2024 , 16:10:00,2230,218.8
38,17/06/2024 , 16:20:00,2400,235.5
39,17/06/2024 , 16:30:00,2047,200.8
40,17/06/2024 , 16:40:00,1342,131.7
41,17/06/2024 , 16:50:00,1541,151.2
42,17/06/2024 , 17:00:00,1683,165.1
43,17/06/2024 , 17:10:00,1474,144.6
44,17/06/2024 , 17:20:00,1498,147
45,17/06/2024 , 17:30:00,1014,99.5
46,17/06/2024 , 17:40:00,962,94.4
47,17/06/2024 , 17:50:00,1079,105.9
48,17/06/2024 , 18:00:00,931,91.3
49,17/06/2024 , 18:10:00,757,74.3
50,17/06/2024 , 18:20:00,611,59.9
51,17/06/2024 , 18:30:00,410,40.2
52,17/06/2024 , 18:40:00,345,33.8
53,17/06/2024 , 18:50:00,252,24.7
54,17/06/2024 , 19:00:00,176,17.3
55,17/06/2024 , 19:10:00,104,10.2
56,17/06/2024 , 19:20:00,42,4.1
57,17/06/2024 , 19:30:00,9,0.9
58,17/06/2024 , 19:40:00,0,0
59,17/06/2024 , 19:50:00,0,0
60,17/06/2024 , 20:00:00,0,0
61,17/06/2024 , 20:10:00,0,0
62,17/06/2024 , 20:20:00,0,0
63,17/06/2024 , 20:30:00,0,0
64,17/06/2024 , 20:40:00,0,0
65,17/06/2024 , 20:50:00,0,0
66,17/06/2024 , 21:00:00,0,0
67,17/06/2024 , 21:10:00,0,0
68,17/06/2024 , 21:20:00,0,0
69,17/06/2024 , 21:30:00,0,0
70,17/06/2024 , 21:40:00,0,0
71,17/06/2024 , 21:50:00,0,0
72,17/06/2024 , 22:00:00,0,0
73,17/06/2024 , 22:10:00,0,0
74,17/06/2024 , 22:20:00,0,0
75,17/06/2024 , 22:30:00,0,0
76,17/06/2024 , 22:40:00,0,0
77,17/06/2024 , 22:50:00,0,0
78,17/06/2024 , 23:00:00,0,0
79,17/06/2024 , 23:10:00,0,0
80,17/06/2024 , 23:20:00,0,0
81,17/06/2024 , 23:30:00,0,0
82,17/06/2024 , 23:40:00,0,0
83,17/06/2024 , 23:50:00,0,0
84,17/06/2024 , 24:00:00,0,0
85,18/06/2024 , 00:10:00,0,0
86,18/06/2024 , 00:20:00,0,0
87,18/06/2024 , 00:30:00,0,0
88,18/06/2024 , 00:40:00,0,0
89,18/06/2024 , 00:50:00,0,0
90,18/06/2024 , 01:00:00,0,0
91,18/06/2024 , 01:10:00,0,0
92,18/06/2024 , 01:20:00,0,0
93,18/06/2024 , 01:30:00,0,0
94,18/06/2024 , 01:40:00,0,0
95,18/06/2024 , 01:50:00,0,0
96,18/06/2024 , 02:00:00,0,0
97,18/06/2024 , 02:10:00,0,0
98,18/06/2024 , 02:20:00,0,0
99,18/06/2024 , 02:30:00,0,0
100,18/06/2024 , 02:40:00,0,0
101,18/06/2024 , 02:50:00,0,0
102,18/06/2024 , 03:00:00,0,0
103,18/06/2024 , 03:10:00,0,0
104,18/06/2024 , 03:20:00,0,0
105,18/06/2024 , 03:30:00,0,0
