"","study","location","coral.taxa","sample.ID","batch","fraction","depth.m","depth.bin","light.depth","ESS.norm","d13C"
"1","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Thr.n",8.54781101166667
"2","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Thr.n",7.29903902666667
"3","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Thr.n",6.775834355
"4","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Thr.n",4.80292989666667
"5","Wall 2021","Kaneohe.lab","M.capitata","T5A-SYMB","Wall","symb",NA,"shallow","high.light","Thr.n",7.7946336065
"6","Wall 2021","Kaneohe.lab","M.capitata","T5B-SYMB","Wall","symb",NA,"shallow","high.light","Thr.n",10.0368328308333
"7","Wall 2021","Kaneohe.lab","M.capitata","T6A-SYMB","Wall","symb",NA,"shallow","high.light","Thr.n",9.00163799666667
"8","Wall 2021","Kaneohe.lab","M.capitata","T6B-SYMB","Wall","symb",NA,"shallow","high.light","Thr.n",7.7553083
"9","Wall 2021","Kaneohe.lab","Plankton","Plank","Wall","plank",NA,"shallow","Plankton","Thr.n",5.26480426833333
"10","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Val.n",-6.41987586033333
"11","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Val.n",-6.55073875333333
"12","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Val.n",-7.016862611
"13","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Val.n",-6.91094889333333
"14","Wall 2021","Kaneohe.lab","M.capitata","T5A-SYMB","Wall","symb",NA,"shallow","high.light","Val.n",-7.5950734605
"15","Wall 2021","Kaneohe.lab","M.capitata","T5B-SYMB","Wall","symb",NA,"shallow","high.light","Val.n",-8.10957120616667
"16","Wall 2021","Kaneohe.lab","M.capitata","T6A-SYMB","Wall","symb",NA,"shallow","high.light","Val.n",-7.98915997933333
"17","Wall 2021","Kaneohe.lab","M.capitata","T6B-SYMB","Wall","symb",NA,"shallow","high.light","Val.n",-7.79583816
"18","Wall 2021","Kaneohe.lab","Plankton","Plank","Wall","plank",NA,"shallow","Plankton","Val.n",-4.03590280166667
"19","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Leu.n",-7.02239101033333
"20","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Leu.n",-7.04176905333333
"21","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Leu.n",-8.132347461
"22","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Leu.n",-6.84979737333333
"23","Wall 2021","Kaneohe.lab","M.capitata","T5A-SYMB","Wall","symb",NA,"shallow","high.light","Leu.n",-7.3584977105
"24","Wall 2021","Kaneohe.lab","M.capitata","T5B-SYMB","Wall","symb",NA,"shallow","high.light","Leu.n",-6.94963181616667
"25","Wall 2021","Kaneohe.lab","M.capitata","T6A-SYMB","Wall","symb",NA,"shallow","high.light","Leu.n",-7.39573573933333
"26","Wall 2021","Kaneohe.lab","M.capitata","T6B-SYMB","Wall","symb",NA,"shallow","high.light","Leu.n",-6.73494422
"27","Wall 2021","Kaneohe.lab","Plankton","Plank","Wall","plank",NA,"shallow","Plankton","Leu.n",-4.67438765166667
"28","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Ile.n",4.19821504966667
"29","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Ile.n",3.14974609666667
"30","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Ile.n",3.456288899
"31","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Ile.n",3.20171777666667
"32","Wall 2021","Kaneohe.lab","M.capitata","T5A-SYMB","Wall","symb",NA,"shallow","high.light","Ile.n",2.8165022895
"33","Wall 2021","Kaneohe.lab","M.capitata","T5B-SYMB","Wall","symb",NA,"shallow","high.light","Ile.n",1.77339848383333
"34","Wall 2021","Kaneohe.lab","M.capitata","T6A-SYMB","Wall","symb",NA,"shallow","high.light","Ile.n",2.98774911066667
"35","Wall 2021","Kaneohe.lab","M.capitata","T6B-SYMB","Wall","symb",NA,"shallow","high.light","Ile.n",2.98475275
"36","Wall 2021","Kaneohe.lab","Plankton","Plank","Wall","plank",NA,"shallow","Plankton","Ile.n",1.34621841833333
"37","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Phe.n",-3.32491232033333
"38","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Phe.n",-3.23550958333333
"39","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Phe.n",-1.494123031
"40","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Phe.n",-1.51619889333333
"41","Wall 2021","Kaneohe.lab","M.capitata","T5A-SYMB","Wall","symb",NA,"shallow","high.light","Phe.n",-2.5316724205
"42","Wall 2021","Kaneohe.lab","M.capitata","T5B-SYMB","Wall","symb",NA,"shallow","high.light","Phe.n",-2.80252954616667
"43","Wall 2021","Kaneohe.lab","M.capitata","T6A-SYMB","Wall","symb",NA,"shallow","high.light","Phe.n",-2.33375893933333
"44","Wall 2021","Kaneohe.lab","M.capitata","T6B-SYMB","Wall","symb",NA,"shallow","high.light","Phe.n",-2.02548399
"45","Wall 2021","Kaneohe.lab","Plankton","Plank","Wall","plank",NA,"shallow","Plankton","Phe.n",-1.72309030166667
"46","Wall 2021","Kaneohe.lab","M.capitata","T5A-HOST","Wall","host",NA,"shallow","high.light","Lys.n",4.02115312966667
"47","Wall 2021","Kaneohe.lab","M.capitata","T5B-HOST","Wall","host",NA,"shallow","high.light","Lys.n",6.37923226666667
"48","Wall 2021","Kaneohe.lab","M.capitata","T6A-HOST","Wall","host",NA,"shallow","high.light","Lys.n",6.411209849
"49","Wall 2021","Kaneohe.lab","M.capitata","T6B-HOST","Wall","host",NA,"shallow","high.light","Lys.n",7.27229748666667
